Algae,Rotifers,Eggs,Egg_Ratio,Dead_Rotifers,Time
0.03380990518902995,0.0,0.0,0.0,0.0,125.0
0.03380990518902995,0.0,0.0,0.0,0.0,126.0
0.10142971556708986,0.0,0.0,0.0,0.0,127.0
0.0676198103780599,0.0,0.0,0.0,0.0,128.0
0.0676198103780599,0.0,0.0,0.0,0.0,129.0
0.16904952594514977,0.0,0.0,0.0,0.0,130.0
0.10142971556708986,2.063072187913333,0.0,0.0,0.0,131.0
0.1352396207561198,0.0,0.0,0.0,0.0,132.0
0.10142971556708986,0.0,0.0,0.0,0.0,133.0
0.0676198103780599,0.0,0.0,0.0,0.0,134.0
0.03380990518902995,0.0,0.0,0.0,0.0,135.0
0.03380990518902995,4.126144375826666,0.0,0.0,0.0,136.0
0.1352396207561198,0.0,0.0,0.0,2.063072187913333,137.0
0.03380990518902995,2.063072187913333,0.0,0.0,0.0,138.0
0.10142971556708986,2.063072187913333,0.0,0.0,0.0,139.0
0.10142971556708986,0.0,0.0,0.0,0.0,140.0
0.0,0.0,0.0,0.0,0.0,141.0
0.0676198103780599,0.0,0.0,0.0,0.0,142.0
0.0676198103780599,2.063072187913333,0.0,0.0,0.0,143.0
0.0676198103780599,0.0,0.0,0.0,2.063072187913333,144.0
0.0676198103780599,0.0,0.0,0.0,0.0,145.0
0.2366693363232097,4.126144375826666,0.0,0.0,0.0,146.0
0.0676198103780599,0.0,0.0,0.0,0.0,147.0
0.10142971556708986,14.400691170094484,0.0,0.0,0.0,148.0
0.03380990518902995,0.0,0.0,0.0,0.0,149.0
0.03380990518902995,2.063072187913333,0.0,0.0,0.0,150.0
0.0676198103780599,0.0,12.337618982181151,0.9999998327820103,0.0,151.0
0.0676198103780599,0.0,0.0,0.0,0.0,152.0
0.0676198103780599,0.0,0.0,0.0,0.0,153.0
0.03380990518902995,2.063072187913333,0.0,0.0,0.0,154.0
0.0676198103780599,0.0,0.0,0.0,0.0,155.0
0.1352396207561198,0.0,0.0,0.0,0.0,156.0
0.16904952594514977,0.0,0.0,0.0,0.0,157.0
0.2366693363232097,0.0,12.337618982181151,0.9999998327820103,0.0,158.0
0.0676198103780599,0.0,0.0,0.0,0.0,159.0
0.0,0.0,0.0,0.0,0.0,160.0
0.0,0.0,0.0,0.0,2.063072187913333,161.0
0.1352396207561198,0.0,0.0,0.0,0.0,162.0
0.0676198103780599,0.0,0.0,0.0,0.0,163.0
0.03380990518902995,12.337618982181151,0.0,0.0,0.0,164.0
0.03380990518902995,0.0,0.0,0.0,0.0,165.0
0.0676198103780599,0.0,0.0,0.0,2.063072187913333,166.0
0.1352396207561198,0.0,0.0,0.0,0.0,167.0
0.1352396207561198,16.463763358007817,0.0,0.0,0.0,168.0
0.16904952594514977,0.0,0.0,0.0,0.0,169.0
0.0,0.0,0.0,0.0,0.0,170.0
0.0676198103780599,2.063072187913333,0.0,0.0,0.0,171.0
0.0,0.0,0.0,0.0,0.0,172.0
0.0,12.337618982181151,0.0,0.0,0.0,173.0
0.10142971556708986,0.0,0.0,0.0,0.0,174.0
0.0676198103780599,0.0,0.0,0.0,0.0,175.0
0.0,0.0,0.0,0.0,0.0,176.0
0.16904952594514977,0.0,0.0,0.0,0.0,177.0
0.0676198103780599,0.0,0.0,0.0,2.063072187913333,178.0
0.16904952594514977,2.063072187913333,0.0,0.0,0.0,179.0
0.03380990518902995,0.0,12.337618982181151,0.9999998327820103,0.0,180.0
0.1352396207561198,0.0,0.0,0.0,0.0,181.0
0.10142971556708986,2.063072187913333,0.0,0.0,0.0,182.0
0.1352396207561198,2.063072187913333,12.337618982181151,0.8567378516032831,0.0,183.0
0.16904952594514977,0.0,0.0,0.0,0.0,184.0
0.03380990518902995,0.0,0.0,0.0,0.0,185.0
0.10142971556708986,0.0,0.0,0.0,0.0,186.0
0.03380990518902995,2.063072187913333,0.0,0.0,0.0,187.0
0.0,0.0,12.337618982181151,0.9999998327820103,0.0,188.0
0.0,0.0,0.0,0.0,2.063072187913333,189.0
0.0676198103780599,0.0,0.0,0.0,0.0,190.0
0.0676198103780599,0.0,0.0,0.0,0.0,191.0
0.1352396207561198,24.675237964362303,0.0,0.0,0.0,192.0
0.0676198103780599,0.0,0.0,0.0,4.126144375826666,193.0
0.0676198103780599,0.0,0.0,0.0,0.0,194.0
0.03380990518902995,2.063072187913333,0.0,0.0,0.0,195.0
0.03380990518902995,0.0,0.0,0.0,0.0,196.0
0.10142971556708986,0.0,0.0,0.0,2.063072187913333,197.0
0.16904952594514977,2.063072187913333,0.0,0.0,0.0,198.0
0.10142971556708986,0.0,0.0,0.0,0.0,199.0
0.1352396207561198,4.126144375826666,0.0,0.0,0.0,200.0
0.16904952594514977,0.0,0.0,0.0,0.0,201.0
0.1352396207561198,0.0,12.337618982181151,0.9999998327820103,0.0,202.0
0.1352396207561198,0.0,0.0,0.0,0.0,203.0
0.03380990518902995,2.063072187913333,12.337618982181151,0.8567378516032831,0.0,204.0
0.0,0.0,0.0,0.0,0.0,205.0
0.10142971556708986,2.063072187913333,0.0,0.0,0.0,206.0
0.20285943113417973,0.0,0.0,0.0,0.0,207.0
0.0,0.0,0.0,0.0,0.0,208.0
0.03380990518902995,0.0,0.0,0.0,0.0,209.0
0.03380990518902995,0.0,0.0,0.0,0.0,210.0
0.10142971556708986,2.063072187913333,0.0,0.0,0.0,211.0
0.03380990518902995,2.063072187913333,0.0,0.0,0.0,212.0
0.03380990518902995,2.063072187913333,0.0,0.0,0.0,213.0
0.0,2.063072187913333,0.0,0.0,0.0,214.0
0.1352396207561198,0.0,0.0,0.0,0.0,215.0
0.20285943113417973,0.0,0.0,0.0,0.0,216.0
0.10142971556708986,0.0,0.0,0.0,0.0,217.0
0.0676198103780599,0.0,0.0,0.0,0.0,218.0
0.1352396207561198,0.0,0.0,0.0,0.0,219.0
0.03380990518902995,0.0,0.0,0.0,0.0,220.0
0.10142971556708986,0.0,0.0,0.0,0.0,221.0
0.0676198103780599,0.0,0.0,0.0,0.0,222.0
0.1352396207561198,0.0,0.0,0.0,2.063072187913333,223.0
0.0676198103780599,0.0,0.0,0.0,0.0,224.0
0.10142971556708986,12.337618982181151,0.0,0.0,0.0,225.0
0.10142971556708986,0.0,12.337618982181151,0.9999998327820103,0.0,226.0
0.0676198103780599,0.0,0.0,0.0,0.0,227.0
0.03380990518902995,2.063072187913333,0.0,0.0,2.063072187913333,228.0
0.1352396207561198,0.0,0.0,0.0,0.0,229.0
0.03380990518902995,0.0,0.0,0.0,0.0,230.0
0.10142971556708986,2.063072187913333,0.0,0.0,0.0,231.0
0.0676198103780599,4.126144375826666,0.0,0.0,0.0,232.0
0.1352396207561198,4.126144375826666,0.0,0.0,0.0,233.0
0.0676198103780599,0.0,0.0,0.0,0.0,234.0
0.0676198103780599,12.337618982181151,0.0,0.0,0.0,235.0
0.03380990518902995,0.0,0.0,0.0,0.0,236.0
0.03380990518902995,0.0,0.0,0.0,0.0,237.0
0.16904952594514977,0.0,0.0,0.0,0.0,238.0
0.03380990518902995,0.0,0.0,0.0,0.0,239.0
0.0676198103780599,0.0,0.0,0.0,0.0,240.0
0.0,0.0,0.0,0.0,0.0,241.0
0.10142971556708986,0.0,0.0,0.0,0.0,242.0
0.03380990518902995,0.0,0.0,0.0,0.0,243.0
0.10142971556708986,2.063072187913333,0.0,0.0,0.0,244.0
0.0676198103780599,2.063072187913333,0.0,0.0,0.0,245.0
0.0676198103780599,0.0,0.0,0.0,0.0,246.0
0.16904952594514977,2.063072187913333,0.0,0.0,0.0,247.0
0.0,2.063072187913333,0.0,0.0,0.0,248.0
0.0676198103780599,0.0,0.0,0.0,0.0,249.0
0.0,2.063072187913333,0.0,0.0,0.0,250.0
0.10142971556708986,0.0,0.0,0.0,0.0,251.0
0.0,0.0,0.0,0.0,0.0,252.0
0.0676198103780599,2.063072187913333,0.0,0.0,2.063072187913333,253.0
0.10142971556708986,2.063072187913333,0.0,0.0,0.0,254.0
0.10142971556708986,0.0,0.0,0.0,2.063072187913333,255.0
0.16904952594514977,2.063072187913333,0.0,0.0,0.0,256.0
0.1352396207561198,0.0,0.0,0.0,0.0,257.0
0.0676198103780599,0.0,0.0,0.0,2.063072187913333,258.0
0.0676198103780599,2.063072187913333,0.0,0.0,0.0,259.0
0.1352396207561198,0.0,0.0,0.0,0.0,260.0
0.1352396207561198,0.0,0.0,0.0,2.063072187913333,261.0
0.0,0.0,12.337618982181151,0.9999998327820103,0.0,262.0
0.03380990518902995,0.0,0.0,0.0,2.063072187913333,263.0
0.0676198103780599,2.063072187913333,0.0,0.0,0.0,264.0
0.03380990518902995,0.0,0.0,0.0,0.0,265.0
0.1352396207561198,0.0,0.0,0.0,0.0,266.0
0.0,0.0,0.0,0.0,0.0,267.0
0.0676198103780599,0.0,0.0,0.0,0.0,268.0
0.0676198103780599,2.063072187913333,0.0,0.0,0.0,269.0
0.03380990518902995,2.063072187913333,0.0,0.0,0.0,270.0
0.0676198103780599,0.0,0.0,0.0,0.0,271.0
0.03380990518902995,2.063072187913333,12.337618982181151,0.8567378516032831,0.0,272.0
0.0,2.063072187913333,0.0,0.0,0.0,273.0
0.03380990518902995,0.0,0.0,0.0,0.0,274.0
0.03380990518902995,0.0,0.0,0.0,0.0,275.0
0.0676198103780599,0.0,0.0,0.0,0.0,276.0
0.1352396207561198,0.0,0.0,0.0,2.063072187913333,277.0
0.03380990518902995,14.400691170094484,0.0,0.0,0.0,278.0
0.10142971556708986,0.0,0.0,0.0,0.0,279.0
0.03380990518902995,0.0,12.337618982181151,0.9999998327820103,0.0,280.0
0.0676198103780599,2.063072187913333,0.0,0.0,0.0,281.0
0.10142971556708986,0.0,0.0,0.0,0.0,282.0
0.0,4.126144375826666,0.0,0.0,0.0,283.0
0.03380990518902995,0.0,0.0,0.0,0.0,284.0
0.1352396207561198,2.063072187913333,0.0,0.0,0.0,285.0
0.0676198103780599,12.337618982181151,0.0,0.0,0.0,286.0
0.1352396207561198,0.0,0.0,0.0,0.0,287.0
0.10142971556708986,2.063072187913333,0.0,0.0,0.0,288.0
0.0,0.0,0.0,0.0,0.0,289.0
0.0676198103780599,2.063072187913333,0.0,0.0,0.0,290.0
0.0676198103780599,0.0,0.0,0.0,0.0,291.0
0.0676198103780599,0.0,0.0,0.0,0.0,292.0
0.16904952594514977,2.063072187913333,0.0,0.0,0.0,293.0
0.10142971556708986,2.063072187913333,0.0,0.0,0.0,294.0
0.03380990518902995,0.0,12.337618982181151,0.9999998327820103,0.0,295.0
0.03380990518902995,0.0,0.0,0.0,0.0,296.0
0.03380990518902995,4.126144375826666,0.0,0.0,0.0,297.0
0.0,2.063072187913333,0.0,0.0,0.0,298.0
0.1352396207561198,0.0,0.0,0.0,0.0,299.0
